node,word_count
Paul McCartney and Wings,4392
Pearl Jam,7440
Peter Frampton,3089
Peter Gabriel,8040
Phil Collins,10974
Pink Floyd,13012
Pixies (band),3398
Poison (American band),
Pop Evil,2302
Primus (band),4854
Puddle of Mudd,3531
Queen (band),12946
Queens of the Stone Age,5419
Queensrÿche,4224
Quiet Riot,5166
R.E.M.,7134
Radiohead,7291
Rage Against the Machine,2923
Rainbow (rock band),2860
Rammstein,8454
Ramones,6903
Ratt,3146
Red Hot Chili Peppers,7773
REO Speedwagon,2367
Ringo Starr,10059
Rise Against,4836
Ritchie Valens,3204
Rob Zombie,5456
Robert Plant,6248
rock music,
Rod Stewart,7506
Roxy Music,4290
Roy Orbison,4268
Royal Blood (band),1801
Run-DMC,3677
Rush (band),8520
Saliva (band),2757
Sam Fender,4137
Santana (band),2247
Saving Abel,1223
Scorpions (band),3768
Seether,3048
Sepultura,4197
Sex Pistols,7938
Shakin' Stevens,1903
Sheryl Crow,5057
Shinedown,3033
Silverchair,3447
Simon & Garfunkel,3833
Simple Minds,5862
Simple Plan,3423
Sixto Rodriguez,2740
Skid Row (American band),2901
Skillet (band),4257
Slade,7529
Slayer,7967
Slipknot (band),6507
Sly and the Family Stone,3712
Small Faces,2231
Smash Mouth,3133
Smokie (band),2465
Snow Patrol,2988
Social Distortion,3368
Sonic Youth,4079
Soundgarden,6471
Staind,2513
Starset,2444
Starship (band),1271
Status Quo (band),3239
Steely Dan,4235
Steppenwolf (band),1356
Steve Miller Band,1476
Steve Vai,7011
Steve Winwood,2921
Stevie Nicks,7990
Stevie Ray Vaughan,8483
Sting (musician),6584
Stone Sour,2114
Stone Temple Pilots,4295
Styx (band),4101
Sublime (band),3213
Sublime with Rome,2258
Sum 41,4244
Supertramp,3032
Survivor (band),4392
System of a Down,5298
T. Rex (band),3549
Talking Heads,2194
Ted Nugent,5712
Ten Years After,1114
Tenacious D,5577
Tesla (band),1757
The Alan Parsons Project,1200
The All-American Rejects,4140
The Allman Brothers Band,3289
The Animals,2687
The Band,6271
The Bangles,2465
The Beach Boys,14264
The Beatles,15685
The Big Bopper,2705
The Black Crowes,2598
The Black Keys,4615
The Boxtones,399
The Byrds,8015
The Cab,1922
The Cardigans,1907
The Cars,1980
The Clash,5097
The Cranberries,3634
The Cult,5517
The Cure,5792
The Dave Clark Five,1415
The Doobie Brothers,6848
The Doors,6035
The Everly Brothers,3824
The Fixx,478
The Flaming Lips,6309
The Four Seasons (band),6320
The Fray,3544
The Go-Go's,2375
The Guess Who,2907
The Hives,2358
The Hollies,3186
The J. Geils Band,2840
The Jam,2650
The Jesus and Mary Chain,4527
The Killers,5750
The Kinks,5238
The Lovin' Spoonful,8902
The Lumineers,3106
The Mamas & the Papas,4441
The Marshall Tucker Band,3027
The Monkees,6978
The Moody Blues,5072
The Mothers of Invention,3191
The Offspring,4573
The Outfield,1218
The Police,4563
The Presidents of the United States of America (band),1949
The Pretenders,1697
The Pretty Reckless,2333
The Rolling Stones,13035
The Script,2685
The Smashing Pumpkins,7023
The Smiths,5848
The Stone Roses,3427
The Strokes,4596
The Sweet,4661
The Tragically Hip,4122
The Used,3020
The Velvet Underground,6029
The Verve,3000
The White Stripes,7217
The Who,11036
The Yardbirds,4161
The Zombies,4346
Theory of a Deadman,1716
Thin Lizzy,7451
Third Eye Blind,3713
Thirty Seconds to Mars,3933
Thousand Foot Krutch,3174
Three Days Grace,4935
Three Dog Night,3231
Tom Petty,4356
Tom Petty and the Heartbreakers,2999
Tommy James and the Shondells,1853
Tool (band),1827
Toto (band),5684
Tracy Chapman,1894
Traffic (band),1095
Train (band),4198
Traveling Wilburys,3196
Travis (band),2955
Trivium (band),4371
Twenty One Pilots,5051
Twisted Sister,3778
U2,11797
UB40,3727
Uriah Heep (band),3580
Vampire Weekend,3703
Van Halen,7366
Van Morrison,11593
Velvet Revolver,2739
Volbeat,1796
W.A.S.P. (band),2380
Warrant (American band),1914
Weezer,7488
White Zombie (band),1773
Whitesnake,7629
X (American band),2573
X Ambassadors,1885
Yes (band),7277
ZZ Top,4051
